,UserId,PostId,Followings,Followers,MediaCount,BrandName,BrandCategory,BrandFollowers,Hashtags,Caption,Likes,Comments ,Selfie,BodySnap,Marketing,ProductOnly,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Emotion,Emotion_value
3242,703120154,1171463580088954193,4354,43520,25251,Katespade,Designer,2 756 523,30,46,26,0,0.0,0.76,0.48,0.0,0.99,0.5,0.12,0.22,0.65,1.66,4.24,Neutral,0.81
3243,989730884,1171462678012352012,535,12957,765,Katespade,Designer,2 756 523,23,31,256,4,0.0,0.0,0.01,0.98,0.0,0.99,0.05,0.0,0.0,0.17,2.12,NaN,0.0
3244,193734876,1171457089567733583,1857,20717,1791,Katespade,Designer,2 756 523,21,56,252,4,0.0,0.01,0.04,0.08,0.02,1.0,0.15,0.01,0.01,0.42,1.31,NaN,0.0
3245,703120154,1171463539714583887,4354,43520,25251,Katespade,Designer,2 756 523,30,46,25,0,0.01,0.97,0.06,0.0,0.95,0.06,0.01,0.36,0.28,1.32,5.73,Neutral,0.94
3246,1504969227,1171544187628294476,6328,8025,3767,Katespade,Designer,2 756 523,26,10,23,1,0.0,0.03,0.03,0.93,0.03,0.97,0.2,0.01,0.01,0.43,3.94,NaN,0.0
3247,703120154,1171463775761624407,4354,43520,25251,Katespade,Designer,2 756 523,30,45,24,0,0.01,0.6,0.79,0.0,1.0,0.82,0.39,0.45,0.08,2.75,5.56,Neutral,0.96
3248,28704978,1171503726596049992,4685,134764,31303,Katespade,Designer,2 756 523,30,58,23,0,0.01,0.46,0.73,0.01,0.98,0.92,0.46,0.4,0.26,3.02,6.2,NaN,0.0
3249,28704978,1171505168832646243,4685,134764,31303,Katespade,Designer,2 756 523,30,42,22,0,0.0,0.83,0.61,0.0,0.97,0.03,0.01,0.15,0.04,1.29,5.3,Neutral,0.97
3250,28704978,1171486017019825956,4685,134764,31303,Katespade,Designer,2 756 523,30,43,22,1,0.0,1.0,0.0,0.0,0.77,0.02,0.0,0.19,0.02,0.6,3.27,Happiness,1.0
3251,1708867548,1171464793906205869,671,11379,1878,Katespade,Designer,2 756 523,25,26,22,0,0.0,0.23,0.07,0.2,0.12,1.0,0.8,0.01,0.0,0.46,2.27,NaN,0.0
3252,28704978,1171550473213038371,4685,134764,31303,Katespade,Designer,2 756 523,29,49,21,1,0.02,0.99,0.01,0.0,1.0,0.56,0.03,0.84,0.54,1.43,4.19,Happiness,0.51
3253,703120154,1171536735797145099,4354,43520,25251,Katespade,Designer,2 756 523,30,52,21,0,0.01,0.54,0.35,0.01,0.98,0.42,0.06,0.35,0.14,1.95,6.84,Happiness,1.0
3254,703120154,1171477870141402715,4354,43520,25251,Katespade,Designer,2 756 523,30,48,21,0,0.38,0.23,0.04,0.04,0.79,0.59,0.12,0.36,0.11,1.69,2.3,NaN,0.0
3255,703120154,1171536791942098444,4354,43520,25251,Katespade,Designer,2 756 523,30,52,20,0,0.01,0.27,0.82,0.0,0.99,0.32,0.11,0.31,0.06,2.6,5.95,Happiness,1.0
3256,1708867548,1171464499944215719,671,11379,1878,Katespade,Designer,2 756 523,25,26,20,0,0.0,0.18,0.02,0.3,0.04,0.97,0.42,0.02,0.01,0.49,2.24,NaN,0.0
3257,1708867548,1171464356700345510,671,11379,1878,Katespade,Designer,2 756 523,25,26,20,0,0.0,0.38,0.05,0.21,0.16,0.99,0.63,0.02,0.02,0.7,2.26,NaN,0.0
3258,28704978,1171449290536373361,4685,134764,31303,Katespade,Designer,2 756 523,30,60,20,0,0.0,0.0,0.01,1.0,0.0,0.23,0.05,0.0,0.0,0.07,3.56,NaN,0.0
3259,703120154,1171565601274097631,4354,43520,25251,Katespade,Designer,2 756 523,29,49,19,0,0.02,0.96,0.01,0.0,1.0,0.42,0.03,0.77,0.99,1.93,3.7,Happiness,0.5
3260,28704978,1171550143716904735,4685,134764,31303,Katespade,Designer,2 756 523,29,80,19,4,0.0,0.53,0.17,0.0,1.0,0.79,0.03,0.59,0.07,1.67,4.88,Happiness,0.66
3261,581560527,1171494383687058369,5897,7576,942,Katespade,Designer,2 756 523,20,30,19,0,0.0,0.0,0.0,1.0,0.0,1.0,0.17,0.0,0.0,0.06,1.35,NaN,0.0
3262,581560527,1171494383687058369,5897,7576,942,Katespade,Designer,2 756 523,20,30,19,0,0.0,0.0,0.0,1.0,0.0,1.0,0.17,0.0,0.0,0.06,1.35,NaN,0.0
3263,549636283,1171588386429080080,41,54025,3826,Katespade,Designer,2 756 523,7,19,18,0,0.0,0.06,0.11,0.72,0.05,0.97,0.15,0.01,0.0,0.42,3.98,NaN,0.0
3264,28704978,1171485983188569889,4685,134764,31303,Katespade,Designer,2 756 523,30,43,17,0,0.01,0.99,0.01,0.0,0.97,0.07,0.01,0.54,0.13,1.09,3.67,Happiness,0.99
3265,703120154,1171477830572338778,4354,43520,25251,Katespade,Designer,2 756 523,30,48,17,0,0.12,0.2,0.17,0.01,0.98,0.81,0.12,0.34,0.03,1.51,2.7,Neutral,0.95
3266,1708867548,1171463497740440728,671,11379,1878,Katespade,Designer,2 756 523,25,26,17,0,0.0,0.01,0.0,0.99,0.0,0.99,0.18,0.0,0.0,0.1,1.4,NaN,0.0
3267,703120154,1171575821903752329,4354,43520,25251,Katespade,Designer,2 756 523,29,52,16,0,0.02,0.87,0.2,0.0,1.0,0.55,0.04,0.76,0.11,2.4,4.44,Happiness,0.85
3268,371926817,1171550354242562777,41,14388,14096,Katespade,Designer,2 756 523,29,13,16,0,0.0,0.0,0.07,0.99,0.02,0.99,0.3,0.0,0.0,0.34,2.67,NaN,0.0
3269,581560527,1171493134992425901,5897,7576,942,Katespade,Designer,2 756 523,20,30,16,0,0.0,0.01,0.05,0.49,0.02,0.99,0.39,0.01,0.0,0.33,1.27,NaN,0.0
3270,581560527,1171493134992425901,5897,7576,942,Katespade,Designer,2 756 523,20,30,16,0,0.0,0.01,0.05,0.49,0.02,0.99,0.39,0.01,0.0,0.33,1.27,NaN,0.0
3271,703120154,1171565375905755100,4354,43520,25251,Katespade,Designer,2 756 523,30,42,15,0,0.03,0.99,0.01,0.0,1.0,0.62,0.04,0.87,0.98,1.85,3.9,Happiness,0.56
3272,1708867548,1171463669782402203,671,11379,1878,Katespade,Designer,2 756 523,25,26,15,1,0.01,0.24,0.01,0.7,0.06,0.99,0.56,0.02,0.04,0.74,2.44,NaN,0.0
3273,549636283,1171588017506488840,41,54025,3826,Katespade,Designer,2 756 523,7,15,14,0,0.01,0.51,0.19,0.01,0.93,0.53,0.06,0.21,0.07,1.43,5.44,Happiness,0.95
3274,703120154,1171522673294077229,4354,43520,25251,Katespade,Designer,2 756 523,30,47,14,0,0.0,0.96,0.03,0.0,0.83,0.89,0.05,0.18,0.0,0.89,3.94,Neutral,0.89
3275,1708867548,1171464190203253923,671,11379,1878,Katespade,Designer,2 756 523,25,26,14,0,0.0,0.12,0.0,0.66,0.0,0.99,0.21,0.0,0.0,0.15,0.92,NaN,0.0
3276,28704978,1171449259548855408,4685,134764,31303,Katespade,Designer,2 756 523,30,60,14,0,0.0,0.0,0.01,1.0,0.0,0.77,0.08,0.0,0.0,0.09,3.38,NaN,0.0
3277,703120154,1171575320004947072,4354,43520,25251,Katespade,Designer,2 756 523,29,50,13,0,0.01,0.96,0.02,0.0,1.0,0.93,0.05,0.87,0.41,1.82,4.28,Neutral,0.79
3278,703120154,1171564971927171029,4354,43520,25251,Katespade,Designer,2 756 523,29,63,13,0,0.0,0.92,0.05,0.0,0.99,0.89,0.04,0.54,0.14,1.43,5.18,Happiness,0.84
3279,28704978,1171550095608237854,4685,134764,31303,Katespade,Designer,2 756 523,29,80,13,0,0.0,0.44,0.49,0.0,1.0,0.63,0.05,0.44,0.09,1.3,5.62,Neutral,0.85
3280,549636283,1171447958983676178,41,54025,3826,Katespade,Designer,2 756 523,7,17,10,1,0.0,0.42,0.1,0.11,0.65,0.94,0.09,0.07,0.01,0.69,4.43,Neutral,0.58
3281,1475095158,1171533783921491170,4476,13522,5446,Katespade,Designer,2 756 523,29,31,12,0,0.0,0.01,0.0,1.0,0.0,0.98,0.18,0.0,0.0,0.13,1.42,NaN,0.0
3282,4663654,1171479664451460601,3661,23300,16629,Katespade,Designer,2 756 523,30,104,12,0,0.03,0.86,0.0,0.02,0.86,0.93,0.05,0.46,0.11,1.09,3.86,Happiness,1.0
3283,313729891,1171512091984294749,398,10815,489,Katespade,Designer,2 756 523,29,52,112,8,0.0,0.01,0.01,0.99,0.0,0.08,0.06,0.0,0.01,0.15,1.69,NaN,0.0
3284,28704978,1171449198815333486,4685,134764,31303,Katespade,Designer,2 756 523,30,60,11,0,0.0,0.0,0.01,1.0,0.0,0.29,0.03,0.0,0.0,0.07,3.08,NaN,0.0
3285,28704978,1171449163247635563,4685,134764,31303,Katespade,Designer,2 756 523,30,60,11,0,0.0,0.0,0.03,1.0,0.0,0.31,0.03,0.0,0.0,0.11,4.29,NaN,0.0
